book_id,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,Unnamed: 12,id,best_book_id1,work_id1,books_count1,isbn1,isbn131,authors1,original_publication_year,original_title1,title1,language_code1,average_rating1,ratings_count1,work_ratings_count1,work_text_reviews_count1,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url1,small_image_url,tag_name,toread_count,currently_reading
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,439785960,9.78E+12,eng,652,2095690,27591,9/16/2006,Scholastic Inc.,,27.0,1.0,41335427.0,275.0,439785960,9780000000000.0,"J.K. Rowling, Mary GrandPré",2005.0,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,4.54,1678823.0,1785676.0,27520.0,7308.0,21516.0,136333.0,459028.0,1161491.0,https://images.gr-assets.com/books/1361039191m/1.jpg,https://images.gr-assets.com/books/1361039191s/1.jpg,"toread, fantasy, favorites, currentlyreading, youngadult, fiction, harrypotter, booksiown, owned, ya, series, childrens, favourites, magic, reread, ownedbooks, jkrowling, adventure, children, scififantasy",973.0,12986.0
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,439358078,9.78E+12,eng,870,2153167,29221,9/1/2004,Scholastic Inc.,,21.0,2.0,2809203.0,307.0,439358078,9780000000000.0,"J.K. Rowling, Mary GrandPré",2003.0,Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,4.46,1735368.0,1840548.0,28685.0,9528.0,31577.0,180210.0,494427.0,1124806.0,https://images.gr-assets.com/books/1387141547m/2.jpg,https://images.gr-assets.com/books/1387141547s/2.jpg,"toread, currentlyreading, fantasy, favorites, children, childrens, readin, fantasyscifi, alltimefavorites, default, fiction, youngadult, audiobook, booksiown, novels, kids, owned, harrypotter, favorite, paranormal",400.0,3516.0
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,439554896,9.78E+12,eng,352,6333,244,11/1/2003,Scholastic,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X,9.78E+12,eng,435,2339585,36325,5/1/2004,Scholastic Inc.,,18.0,5.0,2402163.0,376.0,043965548X,9780000000000.0,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,Harry Potter and the Prisoner of Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng,4.53,1832823.0,1969375.0,36099.0,6716.0,20413.0,166129.0,509447.0,1266670.0,https://images.gr-assets.com/books/1499277281m/5.jpg,https://images.gr-assets.com/books/1499277281s/5.jpg,"favorites, fantasy, currentlyreading, youngadult, toread, fiction, harrypotter, booksiown, owned, childrens, ya, favourites, series, magic, reread, readin, adventure, ownedbooks, children, jkrowling",1293.0,17944.0
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,439682584,9.78E+12,eng,2690,41428,164,9/13/2004,Scholastic,,3275.0,8.0,21457576.0,11.0,439682584,9780000000000.0,"J.K. Rowling, Mary GrandPré",2003.0,,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",eng,4.77,33220.0,33424.0,156.0,317.0,233.0,978.0,3686.0,28210.0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"toread, favorites, fantasy, currentlyreading, harrypotter, youngadult, fiction, magic, owned, series, ya, booksiown, jkrowling, childrens, favourites, supernatural, adventure, children, childrensbooks, scififantasy",1498.0,71.0
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,976540606,9.78E+12,en-US,152,19,1,4/26/2005,Nimble Books,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,9.78E+12,eng,3342,28242,808,9/12/2005,Scholastic,,3753.0,10.0,21457570.0,6.0,439827604,9780000000000.0,J.K. Rowling,2005.0,"Harry Potter Collection (Harry Potter, #1-6)","Harry Potter Collection (Harry Potter, #1-6)",eng,4.73,24618.0,26274.0,882.0,203.0,186.0,946.0,3891.0,21048.0,https://images.gr-assets.com/books/1328867351m/10.jpg,https://images.gr-assets.com/books/1328867351s/10.jpg,"toread, favorites, fantasy, currentlyreading, harrypotter, fiction, youngadult, magic, ya, childrens, series, adventure, booksiown, children, jkrowling, shelfarifavorites, favourites, childrensbooks, fantasyscifi, ownedbooks",1110.0,127.0
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,9.78E+12,eng,815,3628,254,11/1/2005,Gramercy Books,,,,,,,,,,,,,,,,,,,,,,,,,,
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,345453743,9.78E+12,eng,815,249558,4080,4/30/2002,Del Rey Books,,337.0,13.0,135328.0,32.0,345453743,9780000000000.0,Douglas Adams,1996.0,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,The Ultimate Hitchhiker's Guide to the Galaxy,eng,4.37,222842.0,238420.0,4254.0,2657.0,6328.0,26431.0,66655.0,136349.0,https://images.gr-assets.com/books/1404613595m/13.jpg,https://images.gr-assets.com/books/1404613595s/13.jpg,"toread, currentlyreading, favorites, scifi, sciencefiction, fiction, humor, fantasy, owned, classics, booksiown, scififantasy, comedy, humour, favourites, default, series, fantasyscifi, funny, ownedbooks",1812.0,8571.0
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9.78E+12,eng,215,4930,460,8/3/2004,Crown,,,,,,,,,,,,,,,,,,,,,,,,,,
