bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,Pub_Month,Pub_Day,Pub_Year,publisher
31095,Lila's Child: An Inquiry into Quality,Robert M. Pirsig,3.58,1403356203,9.78E+12,en-GB,600,54,5,1,14,2003,1stBookLibrary
5478,Nineteen Eighty-Four,George Orwell,4.18,1421808323,9.78E+12,eng,387,215,17,7,1,2005,1stWorldLibrary
16285,The Custard Kid (Black Cats),Terry Deary,4.4,713659890,9.78E+12,eng,62,5,0,10,31,2001,A&CBlack(Childrensbooks)
3055,Alcoholics Anonymous,Alcoholics Anonymous,4.45,1893007162,9.78E+12,en-US,576,495,30,2,10,2002,AAWorldServices
6176,The Drowned and the Saved,Primo Levi,4.4,349100470,9.78E+12,eng,170,3542,169,2,1,1989,AbacusBooks
6753,Brief Interviews with Hideous Men,David Foster Wallace,3.86,034911188X,9.78E+12,eng,273,18335,1155,4,1,2000,AbacusBooks
33356,Jennifer Government,Max Barry,3.66,349117624,9.78E+12,eng,352,10771,921,2,5,2004,AbacusBooks
33777,Venice: Tales of the City,Michelle Lovric,3.68,034911899X,9.78E+12,eng,464,34,3,1,20,2005,AbacusBooks
7501,Hitler's Willing Executioners: Ordinary Germans and the Holocaust,Daniel Jonah Goldhagen,3.68,349107866,9.78E+12,en-GB,634,87,7,3,3,1997,AbacusBooks
43106,The Age of Extremes: The Short Twentieth Century  1914-1991,Eric Hobsbawm,4.25,349106711,9.78E+12,eng,638,348,24,11,12,1995,AbacusBooks
44225,Lincoln (Narratives of a Golden Age),Gore Vidal,4.21,349105308,9.78E+12,en-GB,736,29,4,4,21,1994,AbacusBooks
30092,The Life and Death of My Lord Gilles de Rais,Robert Nye,3.87,349102503,9.78E+12,en-GB,323,65,8,12,1,1991,AbacusBooks
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken,4.05,1577658051,9.78E+12,eng,232,91,16,1,31,2006,AbdoPublishingCompany
8927,Sherlock Holmes and the Case of the Hound of the Baskervilles (Great Illustrated Classics),Malvina G. Vogel,4.51,1596792507,9.78E+12,en-US,237,33,1,1,1,2005,AbdoPublishingCompany
41463,A Christmas Carol (Great Illustrated Classics),Malvina G. Vogel,4.36,159679237X,9.78E+12,eng,238,466,31,1,1,2005,AbdoPublishingCompany
9486,Exclusion & Embrace: A Theological Exploration of Identity  Otherness  and Reconciliation,Miroslav Volf,4.27,687002826,9.78E+12,eng,306,1967,131,12,1,1996,AbingdonPress
26821,The National Geographic Society: 100 Years of Adventure & Discovery,C.D.B. Bryan,4.11,810982196,9.78E+12,en-US,528,10,2,9,1,2001,AbradaleBooks/HarryN.Abrams
5838,Mini-Manual of the Urban Guerrilla,Carlos Marighella,3.31,1894925025,9.78E+12,en-US,66,127,13,9,9,2002,AbrahamGuillenPress
15136,The Adventuress,Audrey Niffenegger,3.33,081097052X,9.78E+12,eng,144,1058,148,9,1,2006,Abrams
25355,Art Out of Time: Unknown Comics Visionaries  1900-1969,Dan Nadel,4.05,810958384,9.78E+12,eng,320,226,24,6,1,2006,Abrams
44545,We Are Michael Field,Emma Donoghue,3.55,1899791663,9.78E+12,en-US,152,50,4,10,1,1998,AbsolutePress
15669,Strangers In Paradise  Pocket Book 5,Terry Moore,4.38,1892597381,9.78E+12,eng,392,999,24,12,14,2005,AbstractStudio
38804,The Irish Anatomist: A Study of Flann O'Brien,Keith Donohue,5,1930901356,9.78E+12,eng,222,1,0,7,25,2003,AcademicaPress
35986,Horizontal Gene Transfer,Michael Syvanen,4,126801266,9.78E+12,eng,445,0,0,1,16,2002,AcademicPress
23751,Homer's Daughter,Robert Graves,3.81,897330595,9.78E+12,en-US,283,416,34,8,30,2005,AcademyChicagoPublishers
24589,The Moon in Hiding (The Green Lion Trilogy #2),Teresa Edgerton,4,441542158,9.78E+12,eng,208,162,4,9,1,1989,AceBooks
16682,Rocket Ship Galileo (Heinlein's Juveniles  #1),Robert A. Heinlein,3.71,044101237X,9.78E+12,eng,211,6329,145,12,28,2004,AceBooks
40884,Galactic Effectuator,Jack Vance,3.69,441272320,9.78E+12,eng,219,286,13,11,1,1981,AceBooks
41451,The Hero and the Crown (Damar  #2),Robin McKinley,4.21,441004997,9.78E+12,eng,227,71,7,2,1,1985,AceBooks
13657,Changing Planes,Ursula K. Le Guin,3.83,441012248,9.78E+12,eng,239,3489,335,8,1,2005,AceBooks
35148,Betcha Can't Read Just One,Alan Dean Foster,3.92,441248837,9.78E+12,eng,242,51,1,12,1,1993,AceBooks
20876,The Omega Cage (Matador  #4),Steve Perry,3.78,441623824,9.78E+12,eng,256,522,18,4,1,1988,AceBooks
16654,The Work of the Sun (The Green Lion Trilogy #3),Teresa Edgerton,4,441909116,9.78E+12,eng,258,157,5,3,1,1990,AceBooks
38619,Magic Bites (Kate Daniels  #1),Ilona Andrews,4.07,441014895,9.78E+12,eng,261,86675,5395,3,27,2007,AceBooks
15497,Hard Sell,Piers Anthony,3.38,441317480,9.78E+12,eng,268,700,14,5,1,1993,AceBooks
16656,The Castle of  the Silver Wheel,Teresa Edgerton,3.94,441092756,9.78E+12,eng,278,89,4,2,1,1993,AceBooks
21608,The Accidental Time Machine,Joe Haldeman,3.7,441014992,9.78E+12,eng,278,6572,660,8,7,2007,AceBooks
21615,The Coming,Joe Haldeman,3.09,441008763,9.78E+12,eng,278,690,71,11,1,2001,AceBooks
13659,Tales from Earthsea (Earthsea Cycle  #5),Ursula K. Le Guin,4.04,441011241,9.78E+12,eng,280,14549,468,10,28,2003,AceBooks
17215,Starship Troopers,Robert A. Heinlein,4.01,441014100,9.78E+12,eng,280,1100,165,6,27,2006,AceBooks
15474,God of Tarot (Tarot  #1),Piers Anthony,3.45,441294707,9.78E+12,en-US,288,1737,36,3,1,1987,AceBooks
18394,The Mirror of Merlin,T.A. Barron,4.06,441009654,9.78E+12,eng,288,6661,54,7,30,2002,AceBooks
18395,The Wings of Merlin,T.A. Barron,4.11,441010245,9.78E+12,eng,288,6211,63,1,28,2003,AceBooks
26578,The Eye of Charon (Age of Conan: Hyborian Adventures: A Soldier's Quest  #2),Richard A. Knaak,3.91,441014453,9.78E+12,en-GB,288,43,4,9,26,2006,AceBooks
16653,Goblin Moon (The Goblin Moon Duology #1),Teresa Edgerton,3.79,441294278,9.78E+12,eng,293,244,36,2,1,1991,AceBooks
8089,Rose Daughter,Robin McKinley,3.77,441005837,9.78E+12,eng,304,17168,997,12,1,1998,AceBooks
15490,Faith of Tarot (Tarot  #3),Piers Anthony,3.49,441225659,9.78E+12,eng,304,1273,11,4,15,1987,AceBooks
18392,The Lost Years of Merlin,T.A. Barron,3.98,441010288,9.78E+12,eng,304,12117,452,7,2,2002,AceBooks
20879,The 97th Step (Matador  #5),Steve Perry,4.22,441581056,9.78E+12,eng,304,744,9,12,1,1989,AceBooks
15502,Killobyte,Piers Anthony,3.56,441444253,9.78E+12,en-US,312,1549,47,1,1,1994,AceBooks
35178,Interlopers,Alan Dean Foster,3.33,044100847X,9.78E+12,eng,313,269,23,5,1,2001,AceBooks
23460,Dragon's Treasure,Elizabeth A. Lynn,3.54,441012590,9.78E+12,eng,336,170,11,9,27,2005,AceBooks
15509,Fractal Mode (Mode  #2),Piers Anthony,3.64,441251269,9.78E+12,eng,344,3456,30,12,1,1992,AceBooks
5376,Dragon's Eye (Stonefort  #1),James A. Hetley,3.43,441013724,9.78E+12,en-US,368,133,16,10,31,2006,AceBooks
41423,The Outlaws of Sherwood,Robin McKinley,3.77,441013252,9.78E+12,eng,368,9043,617,10,4,2005,AceBooks
24827,Ship of Fools,Richard Paul Russo,3.74,441008933,9.78E+12,eng,370,2192,206,12,31,2001,AceBooks
14770,Neuromancer,William Gibson,3.9,441012035,9.78E+12,eng,384,1647,175,11,2,2004,AceBooks
40912,The Green Pearl (Lyonesse  #2),Jack Vance,4.16,441303161,9.78E+12,eng,407,10,2,6,15,1987,AceBooks
29396,Furies of Calderon (Codex Alera  #1),Jim Butcher,4.12,044101268X,9.78E+12,eng,504,84357,3322,6,28,2005,AceBooks
350,Stranger in a Strange Land,Robert A. Heinlein,3.92,441788386,9.78E+12,eng,528,251872,6241,10,1,1991,AceBooks
43545,The Once and Future King (The Once and Future King  #1-4),T.H. White,4.07,441627404,9.78E+12,eng,639,85082,2921,6,15,1987,AceBooks
17214,Starship Troopers,Robert A. Heinlein,4.01,441783589,9.78E+12,eng,335,164740,3962,5,15,1987,AceBooks
30036,Elric of Melniboné (The Elric Saga  #1),Michael Moorcock,3.89,441203981,9.78E+12,eng,181,20559,682,7,15,1987,AceBooks
13658,The Other Wind (Earthsea Cycle  #6),Ursula K. Le Guin,4.12,044101125X,9.78E+12,eng,211,14393,635,9,30,2003,AceBooks
